movie_name,year,rate,cast,director
The Professional,1994,74%,"Jean Reno, Gary Oldman, Natalie Portman, Danny Aiello",Luc Besson
Speed,1994,94%,"Keanu Reeves, Dennis Hopper, Sandra Bullock, Joe Morton",Jan de Bont
Drunken Master II,1994,84%,"Jackie Chan, Ti Lung, Anita Mui, Kar-leung Lau",Chia-Liang Liu
John Wick,2014,86%,"Keanu Reeves, Michael Nyqvist, Alfie Allen, Willem Dafoe",Chad Stahelski
"Crouching Tiger, Hidden Dragon",2000,97%,"Chow Yun-Fat, Michelle Yeoh, Zhang Ziyi, Chen Chang",Ang Lee
Predator,1987,80%,"Arnold Schwarzenegger, Carl Weathers, Jesse Ventura, Elpidia Carrillo",John McTiernan
The Bourne Ultimatum,2007,92%,"Matt Damon, Julia Stiles, Joan Allen, David Strathairn",Paul Greengrass
Total Recall,1990,83%,"Arnold Schwarzenegger, Rachel Ticotin, Sharon Stone, Ronny Cox",Paul Verhoeven
Mad Max 2: The Road Warrior,1981,94%,"Mel Gibson, Bruce Spence, Emil Minty, Vernon Wells",George Miller
Heat,1995,88%,"Al Pacino, Robert De Niro, Val Kilmer, Jon Voight",Michael Mann
The Raid: Redemption,2011,87%,"Iko Uwais, Joe Taslim, Doni Alamsyah, Yayan Ruhian",Gareth Huw Evans
Mission: Impossible -- Fallout,2018,97%,"Tom Cruise, Henry Cavill, Ving Rhames, Simon Pegg",Christopher McQuarrie
Raiders of the Lost Ark,1981,96%,"Harrison Ford, Karen Allen, Paul Freeman, Wolf Kahler",Steven Spielberg
Aliens,1986,98%,"Sigourney Weaver, Carrie Henn, Michael Biehn, Paul Reiser",James Cameron
Hard-Boiled,1992,94%,"Chow Yun-Fat, Bowie Lam, Philip Chan, Tony Leung Chiu Wai",John Woo
The Matrix,1999,88%,"Keanu Reeves, Laurence Fishburne, Carrie-Anne Moss, Hugo Weaving","Andy Wachowski, Larry Wachowski"
Terminator 2: Judgment Day,1991,93%,"Arnold Schwarzenegger, Linda Hamilton, Edward Furlong, Robert Patrick",James Cameron
Die Hard,1988,94%,"Bruce Willis, Alan Rickman, Bonnie Bedelia, Reginald VelJohnson",John McTiernan
Mad Max: Fury Road,2015,97%,"Tom Hardy, Charlize Theron, Nicholas Hoult, Hugh Keays-Byrne",George Miller
